miRNA,KMG0071_R1
MIR1-1,34.33
MIR1-2,0
MIR100,33.56
MIR101-1,5.72
MIR101-2,0.38
MIR103A1,0.76
MIR103A2,0.38
MIR103B1,16417.55
MIR103B2,16397.34
MIR105-1,0
MIR105-2,0
MIR106A,4.58
MIR106B,484.39
MIR107,2.67
MIR10A,577.84
MIR10B,472.57
MIR1178,1.14
MIR1179,1.14
MIR1180,23.65
MIR1181,14.11
MIR1182,1.91
MIR1183,0.76
MIR1185-1,1.14
MIR1185-2,0.76
MIR1193,0.76
MIR1197,1.53
MIR1199,3.43
MIR1200,2.67
MIR1202,3.05
MIR1203,1.14
MIR1204,0.38
MIR1205,2.29
MIR1206,3.05
MIR1207,3.43
MIR1208,1.14
MIR122,29718.96
MIR1224,25.17
MIR1225,5.34
MIR1226,1.91
MIR1227,4.2
MIR1228,3.81
MIR1229,8.01
MIR1231,3.05
MIR1233-1,0.38
MIR1233-2,0.76
MIR1234,35.09
MIR1236,5.72
MIR1237,2.29
MIR1238,1.91
MIR124-1,0
MIR124-2,0.76
MIR124-3,1.14
MIR1243,2.29
MIR1245A,0.38
MIR1245B,0
MIR1246,194.9
MIR1247,5.72
MIR1248,0.38
MIR1249,3.05
MIR1250,6.87
MIR1251,0.38
MIR1252,1.14
MIR1253,3.05
MIR1255A,8.77
MIR1255B1,5.72
MIR1255B2,4.2
MIR1256,4.58
MIR1257,1.91
MIR1258,0.76
MIR125A,405.82
MIR125B1,66.75
MIR125B2,65.98
MIR126,24406.64
MIR1260A,28.99
MIR1260B,62.93
MIR1261,20.98
MIR1262,3.81
MIR1263,1.14
MIR1264,0.76
MIR1265,1.14
MIR1266,2.67
MIR1267,1.14
MIR1268A,12.97
MIR1268B,1.91
MIR1269A,1.91
MIR1269B,3.43
MIR127,5.34
MIR1270,1.91
MIR1271,1.14
MIR1272,1.53
MIR1273C,3.81
MIR1273H,47.3
MIR1275,13.35
MIR1276,1.53
MIR1277,37
MIR1278,0.76
MIR1279,0.38
MIR128-1,2.67
MIR128-2,0.38
MIR1281,8.01
MIR1282,2.29
MIR1283-1,0
MIR1283-2,1.14
MIR1284,0
MIR1285-1,8.77
MIR1285-2,3.81
MIR1286,1.53
MIR1287,37
MIR1288,1.53
MIR1289-1,0.38
MIR1289-2,0
MIR129-1,0.38
MIR129-2,1.91
MIR1290,4.96
MIR1291,0.76
MIR1292,19.07
MIR1293,9.92
MIR1294,0.38
MIR1295A,0.38
MIR1295B,0.38
MIR1296,4.2
MIR1297,1.14
MIR1298,3.81
MIR1299,7.25
MIR1301,3.43
MIR1302-1,0
MIR1302-3,0
MIR1302-4,0.76
MIR1302-5,1.14
MIR1302-6,0.38
MIR1302-7,1.14
MIR1302-8,0.38
MIR1303,4.2
MIR1304,27.84
MIR1305,0
MIR1306,69.04
MIR1307,1.53
MIR130A,1.91
MIR130B,5.34
MIR132,4.2
MIR1321,0
MIR1322,0.76
MIR1323,1.14
MIR1324,1.53
MIR133A1,0
MIR133A2,1.91
MIR133B,0.38
MIR134,32.8
MIR1343,3.43
MIR135A1,1.91
MIR135A2,1.53
MIR135B,1.14
MIR136,1.14
MIR137,3.81
MIR138-1,39.67
MIR138-2,3.05
MIR139,1697.67
MIR140,103.74
MIR141,1.53
MIR142,13597
MIR143,15.64
MIR144,3.43
MIR145,34.71
MIR1468,1.53
MIR1469,3.43
MIR146A,1270.49
MIR146B,513.38
MIR1470,3.05
MIR1471,1.91
MIR147A,2.29
MIR147B,0.76
MIR148A,0.76
MIR148B,4.58
MIR149,2.29
MIR150,141.12
MIR151A,18599.62
MIR151B,1.14
MIR152,1.91
MIR153-1,0.76
MIR153-2,0
MIR1537,3.81
MIR1538,3.81
MIR1539,0
MIR154,41.57
MIR155,657.18
MIR1587,5.34
MIR15A,4277.55
MIR15B,12665.21
MIR16-1,90251.53
MIR16-2,88751.82
MIR17,515.29
MIR181A1,1834.6
MIR181A2,275.38
MIR181B1,97.64
MIR181B2,136.55
MIR181C,72.85
MIR181D,46.91
MIR182,316.19
MIR1825,1.14
MIR1827,1.14
MIR183,69.8
MIR184,0.38
MIR185,12087.37
MIR186,568.31
MIR187,1.53
MIR188,3.43
MIR18A,481.34
MIR18B,16.4
MIR1908,113.66
MIR1909,0.38
MIR190A,2.29
MIR190B,4.58
MIR191,18636.23
MIR1910,0.76
MIR1911,2.29
MIR1912,0.76
MIR1913,1.53
MIR1914,12.59
MIR1915,41.57
MIR192,89.25
MIR193A,242.2
MIR193B,9.92
MIR194-1,36.23
MIR194-2,40.43
MIR195,106.03
MIR196A1,2.67
MIR196A2,5.72
MIR196B,17.93
MIR197,14.88
MIR1972-1,0.38
MIR1972-2,1.91
MIR1973,3.05
MIR1976,1.91
MIR198,1.53
MIR199A1,64.08
MIR199A2,64.46
MIR199B,24.79
MIR19A,2.29
MIR19B1,1.14
MIR19B2,1.14
MIR200A,4.58
MIR200B,1.91
