miRNA,KMG0025_R1,KMG0033_R1,KMG0034_R1,KMG0035_R1,KMG0037_2_R1,KMG0037_R1,KMG0038_R1,KMG0039_R1,KMG0040_R1,KMG0042_R1,KMG0051_R1,KMG0055_R1,KMG0056_R1,KMG0057_R1,KMG0059_R1,KMG0062_R1,KMG0063_R1,KMG0064_2_R1,KMG0064_R1,KMG0066_2_R1,KMG0066_R1,KMG0067_2_R1,KMG0067_R1,KMG0068_2_R1,KMG0068_R1,KMG0069_2_R1,KMG0069_R1,KMG0071_R1,KMG0072_R1,KMG0073_R1,KMG0074_R1,KMG0075_2_R1,KMG0075_R1,KMG0076_R1,KMG0077_2_R1,KMG0077_R1,KMG0078_R1,KMG0079_R1,KMG0080_R1,KMG0081_R1,KMG0083_R1,KMG0084_2_R1,KMG0084_R1,KMG0085_R1,KMG0086_R1,KMG0088_R1,KMG0091_R1,KMG0093_R1,KMG0094_R1,KMG0095_R1,KMG0096_R1,KMG0097_R1,KMG0098_R1,KMG0099_R1,KMG0100_R1,KMG0101_2_R1,KMG0101_R1,KMG0102_R1,KMG0103_R1,KMG0104_R1,KMG0105_R1,KMG0106_R1,KMG0107_R1,KMG0108_R1,KMG0109_2_R1,KMG0109_R1,KMG0110_R1,KMG0111_R1,KMG0112_R1,KMG0113_R1,KMG0114_R1,KMG0115_2_R1,KMG0115_R1,KMG0116_R1,KMG0117_R1,KMG0118_R1,KMG0119_R1,KMG0120_R1,KMG0121_R1,KMG0122_R1,KMG0123_R1,KMG0124_R1,KMG0125_R1,KMG0126_R1,KMG0127_R1,KMG0128_R1,KMG0129_R1,KMG0130_R1,KMG0131_R1,KMG0132_R1,KMG0133_R1,KMG0134_R1,KMG0135_R1,KMG0136_R1,KMG0137_R1,KMG0138_R1,KMG0139_R1,KMG0140_R1,KMG0141_R1,KMG0142_R1,KMG0143_R1,KMG0144_R1,KMG0145_R1,KMG0146_R1,KMG0147_R1,KMG0148_R1,KMG0149_R1,KMG0150_R1,KMG0151_R1,KMG0152_R1,KMG0153_R1,KMG0154_R1,KMG0155_R1,KMG0156_R1,KMG0157_R1,KMG0158_R1,KMG0159_R1,KMG0160_R1,KMG0161_R1,KMG0162_R1,KMG0163_R1,KMG0164_R1,KMG0165_R1,KMG0166_R1,KMG0167_R1,KMG0168_R1,KMG0169_R1,KMG0170_R1,KMG0171_R1,KMG0172_R1,KMG0173_R1,KMG0174_R1,KMG0175_R1,KMG0176_R1,KMG0177_R1,KMG0178_R1,KMG0179_R1,KMG0180_R1,KMG0181_R1,KMG0182_R1,KMG0183_R1,KMG0184_R1,KMG0185_R1,KMG0186_2_R1,KMG0186_R1,KMG0187_2_R1,KMG0187_R1,KMG0188_R1,KMG0189_R1,KMG0190_R1,KMG0191_R1,KMG0192_2_R1,KMG0192_R1,KMG0193_R1,KMG0194_R1,KMG0195_R1,KMG0196_R1,KMG0197_R1,KMG0198_R1,KMG0199_R1,KMG0200_R1,KMG0201_R1,KMG0202_R1,KMG0203_R1,KMG0204_R1,KMG0205_R1,KMG0206_R1,KMG0209_R1,KMG0210_R1,KMG0211_R1,KMG0212_R1,KMG0213_R1,KMG0214_R1,KMG0215_R1,KMG0216_R1,KMG0217_R1,KMG0219_R1,KMG0220_R1,KMG0221_R1,KMG0222_R1,KMG0223_R1,KMG0224_R1,KMG0225_R1,KMG0226_R1,KMG0229_R1,KMG0230_R1,KMG0231_R1,KMG0232_R1,KMG0234_R1,KMG0236_R1,KMG0237_R1,KMG0238_R1,KMG0239_R1,KMG0240_R1,KMG0244_R1,KMG0245_R1,KMG0246_R1,KMG0247_R1,KMG0250_R1,KMG0252_R1,KMG0254_R1,KMG0255_R1,KMG0257_R1,KMG0260_R1,KMG0261_R1,KMG0262_R1,KMG0264_R1,KMG0265_R1,KMG0266_R1,KMG0267_R1,KMG0268_R1,KMG0269_R1,KMG0271_R1,KMG0273_R1,KMG0274_R1,KMG0275_R1,KMG0276_R1,KMG0277_R1,KMG0278_R1,KMG0280_R1,KMG0281_R1,KMG0282_R1,KMG0283_R1,KMG0285_R1,KMG0286_R1,KMG0288_R1,KMG0289_R1,KMG0290_R1,KMG0292_R1,KMG0293_R1,KMG0294_R1,KMG0295_R1,KMG0297_R1,KMG0298_R1,KMG0299_R1,KMG0300_R1,KMG0301_R1,KMG0303_R1,KMG0304_R1,KMG0306_R1,KMG0307_R1,KMG0310_R1,KMG0311_R1,KMG0312_R1,KMG0315_R1,KMG0316_R1,KMG0317_R1
MIR1-1,14.93,45.98,43.6,39.83,0,24.13,13.47,74.52,23.94,23.68,93.59,80.04,789.85,16.65,20.09,81.52,57.68,15.4,0,27.07,0,28.31,0,50.11,0,43.09,522.47,34.33,21.24,61.68,16.27,0,62.17,56,21.32,0,13.21,24.09,28.82,33.24,50.4,0,0,23.4,25.3,31.49,0,21.01,37.91,40.63,35.89,16.63,26.4,23.04,27.84,95.49,0,20.61,26.34,35.99,37.92,6.68,14.39,7.34,29.64,53.92,25.62,60.35,28.79,15.91,17.5,13.01,8.43,77.11,0,39.53,19.65,18.72,44.65,44.93,37.8,18.18,46.83,49.43,17.4,45.87,16.79,23.62,29.02,28.92,27.58,128.54,0,74.09,0,87.72,51.14,92.13,38.55,0,28.28,28.68,44.18,34.69,34.17,37.37,63.52,40.16,37.74,29.39,41.16,69.26,37.1,56.47,28.68,17.58,34.22,28.62,45.31,60.27,24.53,27.56,38.27,52.65,61.19,75.39,21.06,23.8,54.04,26.94,55.71,19.96,41.7,75.61,24.81,0,55.16,67.51,28.78,0,9.66,17.3,9.86,0,0,7.3,0,6.78,39.53,21.22,4.9,0,68.76,25.06,41.61,50.48,0,7.75,48.84,26.41,32.5,42.01,47.59,23.53,56.84,17.73,47.16,30.56,37.77,21.42,32.25,0,0,76.81,24.84,0,13.23,44.9,80.89,74,22.81,30.61,43.22,77.87,0,16.86,65.18,0,43.76,32.32,43.17,53.53,0,32.8,69,23.97,38.83,24.95,3.21,40.6,15.98,14.04,52.12,26.95,0,12.67,23.29,18.9,26.72,34.71,29.7,8.34,24.41,0,28.63,17.19,44.36,42.46,9,0,0,0,0,50.67,0,21.19,17.2,0,13.56,56.97,26.51,65.24,33.75,57.44,11.48,29.64,0,9.85,41.85,70.9,45.11,23.01,15.95,29.82,15.04,0,30.21
MIR1-2,0,1.7,0.82,3.06,0,0,0,0.36,0,0,0,0,0,4.76,0,0.82,1.41,10.27,0,1.61,0,0,0,1.22,0,9.57,0,0,0,5.14,1.41,0,0,1.33,0,0,7.77,0,1.41,0,0,0,0,0,0,0.49,6.73,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,2.94,0,0,1.11,4.16,0,7.95,0,0,0.18,0,0,1.88,0,0,2.35,0,2.7,0,0,0,0,0,1.4,3.15,7.25,0,0,0,0,0.57,0,0,0,0,2.07,0,0,3.59,1.92,6.12,0,9.06,5.29,0,31.23,1.4,5.37,5.33,0,0,2.05,0,0.53,0,0.89,0,1.33,2.04,0.87,0.5,0.37,0.99,0,0,0,4.9,0,0,0,15.12,0,0,0,0,0,0,3.22,4.72,0,0,0,0,0,0,0,21.22,0,0,0,5.01,0,0,0,0,0,0,2.03,0.46,0,3.92,0.92,0,0,0,0,21.42,39.69,0,0,0,9.94,0,0,0,0,0,0,0,0,0,12.87,2.97,2.25,0,0,16.16,8.63,0,0,0,0,4.36,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,2.5,4.5,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,30.21
MIR100,18.66,413.8,30.44,182.81,0,56.49,29.82,46.44,71.82,67.09,55.12,544.28,908.33,140.34,149.53,214.4,73.16,20.54,0,21.17,83.92,21.23,0,64.16,0,23.94,0,33.56,111.49,75.39,50.23,0,0,62.67,42.64,0,109.6,38.98,55.53,37.4,3.36,12.13,0,32.76,3.61,22.63,40.36,4.2,20.07,29.02,57.79,93.72,120.38,75.46,11.14,0,0,33.49,65.15,66.2,637.15,25.77,45.63,105.75,29.64,0,50.13,66.59,126.67,55.68,113.77,104.11,108.84,153.3,0,112.02,98.27,65.53,39.95,34.24,67.49,45.45,87.34,68.17,87,128.86,106.31,44.08,79.79,14.46,496.51,64.27,67.99,48.82,73.88,155.19,235.26,39.49,80.55,49.5,56.56,53.78,146,167.33,15.53,122.3,174.67,80.31,117.11,76.99,119.89,47.95,32.98,84.71,73.74,35.16,17.51,39.81,39.94,54.79,151.81,48.99,42.61,46.63,65.25,141.86,112.94,0,33.45,58.77,47.75,0,16.68,75.61,16.54,171.53,36.77,45.01,52.76,0,32.22,133.7,19.71,14.78,0,7.3,0,57.61,79.07,42.45,0,0,0,20.05,13.87,50.48,0,55.52,0,5.28,50.33,18.26,51.26,43.79,19.25,37.98,14.03,30.56,25.18,0,57.06,160.8,16.3,100.44,39.74,72,39.7,0,32.36,21.14,22.81,51.02,36.02,168.03,51.49,107.09,17.98,118.16,350.06,16.16,56.12,0,31.91,32.8,64.24,92.63,112.47,24.95,57.72,23.08,0,23.4,104.24,0,0,25.34,23.29,18.9,66.81,93.71,29.7,8.34,67.14,0,39.37,38.68,103.52,47.45,56.27,47.83,0,40.57,90.77,192.55,0,41.77,94.58,15.8,0,56.97,163.89,172.7,49.82,131.03,51.66,29.64,0,9.85,104.62,101.92,212.67,69.02,15.95,35.78,0,25.69,0
MIR101-1,3.73,8.51,4.94,8.17,0,6.58,2.4,7.92,3.42,3.95,3.12,10.67,0,7.14,2.23,2.45,8.44,5.13,0,4.29,0,0,0,7.33,0,4.79,0,5.72,10.62,11.99,4.95,0,0,1.33,0,0,4.66,2.83,7.73,4.16,1.68,0,0,0,3.61,6.89,6.73,0,2.23,2.9,4.87,1.51,4.22,3.97,5.57,19.1,0,0,1.85,0,9.19,1.91,2.06,14.69,0,0,10.03,6.24,5.76,3.98,26.26,6.51,9.79,6.43,0,14.12,0,9.36,9.4,12.84,10.8,0,8.86,5.11,8.12,10.92,13.99,15.74,0,0,27.58,18.36,47.59,4.02,0,33.74,6.82,26.32,11.02,0,28.28,3.59,9.6,10.2,12.42,6.79,21.17,40.16,10.41,7,12.53,5.33,12.37,0,8.19,0,2.65,8.71,2.68,16.44,9.28,4.08,6.09,4.51,2.58,13.89,3.83,0,18.01,12.24,15.92,0,16.68,0,16.54,0,4.6,0,0,79.86,32.22,9.44,9.86,0,0,43.79,0,20.33,5.65,0,0,0,34.38,40.09,0,0,0,1.29,0,10.56,2.93,5.48,0,3.92,3.67,3.8,0,0,0,0,24.81,0,0,0,19.87,0,26.46,89.8,32.36,0,13.03,10.2,7.2,17.76,12.87,9.92,8.99,0,0,0,8.63,0,0,8.2,19.03,9.81,14.73,0,9.62,7.16,7.99,4.68,13.9,53.91,0,12.67,0,0,0,13.88,0,0,12.21,0,10.74,8.6,0,0,22.51,0,0,40.57,0,0,0,7.87,8.6,0,27.11,45.57,12.05,19.19,14.46,7.18,5.74,8.08,0,5.25,0,8.86,25.78,0,15.95,23.85,7.52,0,0
MIR101-2,14.93,0,0.82,2.04,0,0.55,0.96,1.44,0,5.92,0,0,0,0,6.7,0.82,0.7,5.13,0,1.07,0,0,0,1.83,0,19.15,0,0.38,10.62,3.43,2.12,0,0,1.33,0,0,3.11,0,3.51,8.31,0,0,0,0,7.23,0.49,0,0,0,2.9,0,4.53,5.28,7.15,0,0,0,10.3,0,1.93,1.15,0,2.47,7.34,0,0,0,0,1.44,19.88,0,0,1.63,1.84,0,2.82,0,1.34,0,2.14,2.7,0,3.8,0,0.58,4.37,4.2,4.72,14.51,0,27.58,4.59,0,1.15,0,13.5,0,0,0.69,0,28.28,0,0,3.06,9.32,7.93,10.59,0,7.81,4.2,5.37,15.98,16.49,0,2.05,0,1.86,0.62,0.6,0,8.62,3.06,1.74,0.5,1.47,0.99,7.66,35.7,2.57,9.8,7.96,0,0,30.24,8.27,24.5,13.79,33.76,0,0,9.66,11.01,39.42,29.56,0,0,0,6.78,5.65,0,24.5,0,0,30.07,41.61,0,30.39,1.29,0,0,0.68,3.65,0,0.65,0.92,0.63,0.19,0,0,0,4.96,0,0,0,14.9,0,26.46,22.45,0,0,6.52,10.2,0,0,0,2.97,0,0,43.76,0,4.32,0,0,8.2,7.14,1.09,6.69,0,3.21,2.39,23.97,0,3.47,0,0,12.67,0,0,0,6.94,0,0,4.07,0,3.58,0.43,14.79,7.49,2.25,47.83,0,40.57,0,10.13,0,0.61,17.2,0,0,34.18,0,3.84,0,0.9,17.22,0,0,1.97,62.77,0,0,0,0,5.96,2.51,0,15.1
MIR103A1,3.73,0,0,0,0,0.55,0.48,0,0,0,1.04,0,0,9.51,2.23,0.82,0.7,0,234.41,0.54,0,0,0,3.67,0,4.79,0,0.76,10.62,6.85,0.71,0,0,0,0,0,4.66,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,13.6,2.11,2.38,0,0,0,0,0.92,1.29,2.87,0.95,0.82,1.47,0,0,2.23,4.16,2.88,7.95,0,3.25,0.73,0.92,0,0,0,0,0,0,2.7,0,2.53,1.7,1.74,0,0,3.15,7.25,0,0,0,6.8,1.15,0,0,0,0,2.75,49.5,9.43,0,1.92,0,1.55,6.79,0,0,0,4.2,0,0,0,0,2.05,8.79,0.8,1.24,0.3,0,4.64,1.02,0,0,0,1.98,0,0,5.15,17.14,2.65,0,0,0,0,0,0,0,0,0,0,4.72,19.71,0,0,0,0,6.78,0,0,14.7,0,0,0,0,0,0,1.29,0,0,1.13,0.46,7.32,1.96,0.92,2.53,0.19,0,12.59,0,12.4,0,0,0,0,0,13.23,0,0,0,13.03,0,0,0,0,0,4.49,0,0,0,0,0,0,0,4.76,1.09,2.68,0,0,0.8,0,0,0,0,0,12.67,0,0,0,0,0,0,2.03,0,0,0.86,0,0,0,0,0,0,0,10.13,0,0.61,17.2,0,0,11.39,0,3.84,1.61,2.69,0,0,0,0,0,8.86,12.89,0,0,5.96,0,0,0
MIR103A2,0,0,0.82,0,0,0,1.44,0,0,1.97,0,2.67,0,0,0,0,0.7,5.13,0,0.54,0,0,0,1.22,0,9.57,0,0.38,0,5.14,0.71,0,0,2.67,21.32,0,2.33,0,4.22,0,0,0,0,0,3.61,0.98,0,12.6,0,2.9,1.22,0,4.22,2.38,0,0,0,0,0.46,0.64,0.57,0.95,1.23,1.47,0,0,1.11,6.24,2.88,7.95,0,3.25,2.72,0,0,0,0,0,0,6.42,5.4,0,3.8,3.41,1.74,0,1.4,4.72,0,0,0,4.59,0,0.57,0,0,3.41,6.58,1.38,24.75,0,0,0,2.04,1.55,0,15.88,0,1.3,1.4,3.58,0,4.12,0,2.05,0,0.53,1.24,0,0,1.99,0,2.61,0.5,0.74,4.96,1.91,0,2.57,4.9,5.31,19.96,0,0,0,0,4.6,33.76,19.19,0,0,3.15,9.86,29.56,0,36.49,0,13.56,11.3,63.67,0,0,0,10.02,27.74,50.48,0,1.29,0,0,3.61,0.46,0,0.65,0,0,0.19,0,0,0,0,0,48.91,5.91,9.94,0,0,0,0,0,3.26,0,0,2.73,0,0,2.25,0,21.88,0,4.32,0,0,0,4.76,0,5.36,0,9.62,3.18,7.99,0,0,0,0,25.34,0,0,0,6.94,0,8.34,2.03,0,7.16,1.29,0,2.5,0,0,0,0,0,0,0,0.61,8.6,0,0,0,0,0,0,0.9,0,0,0,1.97,20.92,0,6.44,0,0,0,0,0,15.1
MIR103B1,4044.85,12911.2,6566.75,10724.27,10956.66,17660.59,20576.83,20962.4,16966.77,14963.84,10769.52,6987.63,9043.79,5894.44,13227.58,13858.78,15426.95,4533.44,6329.11,6947.14,10070.49,8215.92,0,5216.69,4830.92,5639.44,7314.52,16417.55,5669.84,6973.35,8443.64,0,3419.55,12389.04,9146.93,7697.35,6955.57,9656.9,3253.18,5343.88,10857.07,7409.02,0,5423.39,8121.94,22174.74,4042.95,4037.42,7494.59,6027.37,18645.35,6206.81,8001.93,8412.91,5674.48,12451.78,8709.42,9688.21,11077.36,10344.03,7244.77,6418.14,10122.62,5619.66,5780.35,1455.97,9555.67,12630.15,12394.8,5834.19,15481.76,8218.48,8365.22,14232.98,2980.43,11743.72,11045.92,10966.75,9117.59,8854.14,3887.49,11625.48,9270.28,8117.89,10361.16,11922.78,16692.1,5516.75,4113.05,8972.27,2675.64,6959.33,4426.04,12147.13,7166.61,7422.3,9962.94,3757.77,7404.86,1039.45,1159.5,4406.34,7541.82,5901.58,4539.57,7037.9,4493.75,4055.74,5253,5709.54,6389.8,5381.3,8146.27,9185.8,4825.59,5634.67,10587.94,10008.22,10694.91,11445.38,3306.03,9148.34,11164.07,10747.76,9768.66,8219.84,3349.9,2356.08,6675.35,2402.41,3756.64,3213.7,1259.21,4400.42,3986.77,2107.38,2137.31,3353.21,2729.28,425.94,441.35,1672.05,611.01,1522.25,1537.39,270.04,0,921.78,677.72,21.22,1288.91,1291.84,1615.84,405.94,582.56,605.82,638.12,637.89,846.51,4613.61,4642.28,6751.09,1204.51,5509.51,6514.2,3067.72,3790.91,5699.36,1183.61,3813.52,3373.72,1286.38,4026.67,2942.43,1276.73,4536.29,2130.36,5141.1,4093.26,1310.89,250.9,4653.35,13169.17,12167.62,10928.61,4471.82,11473.2,6971.52,6322.88,8872.15,7502.96,7815.43,8839.11,8782.43,7239.84,5493.49,6358.61,4927.4,2004.3,5188.37,1558.04,2504.29,882.58,3611.67,0,1355.46,2538.07,5670.86,11677.93,7018.13,3713.06,3201.36,8325.26,2321.08,5661.65,8680.44,4303.4,12190.52,4494.94,4735.26,0,8559.49,3222.29,5401.52,3141.76,8481.4,5073.17,7091.97,3415.93,11415.81,7404.18,5971.68,8623.14,10615.25,6244.98,8358.41,0,4004.67,3620,7665.82,3344.7,5337.75,3125.95,5319.21,1836.88,5188.73,2779.04
MIR103B2,4059.78,12570.63,6565.11,10813.12,12101.39,17563.51,20567.7,20882.85,16433.25,14652.05,10924.47,6960.95,8609.37,6041.92,13214.19,13994.11,15691.44,5005.78,7501.17,7012.25,10070.49,8456.52,0,5165.36,6441.22,5706.46,6269.59,16397.34,5446.87,7000.76,8411.1,0,3419.55,12462.37,8933.71,9007.53,6974.23,9500.28,3254.59,5543.34,10781.47,7299.89,0,5559.09,7973.74,22107.82,4318.75,3667.71,7887.04,5623.99,18679.42,6280.88,8035.72,8458.18,5646.63,13024.71,8709.42,9610.93,11151.76,10099.15,7267.18,6407.64,10174.42,5557.97,5572.85,1348.12,9587.98,12986.01,12417.83,6064.85,15359.24,8081.83,8356.25,14042.97,3174.81,11539.46,10564.38,10866.44,8927.25,8687.24,3984.68,12207.2,9356.35,7845.19,10314.77,11968.65,16501.86,5427.01,3895.43,8386.65,2730.81,6899.65,4303.66,12001.82,8570.37,7577.5,10378.91,3823.58,7466.82,1113.7,1395.17,4115.93,7301.7,6003.62,4506.96,7011.85,4059.73,2529.82,5134.59,5751.53,6341.49,5248.1,8203.99,8978.74,4758,4940.23,10691.13,10097.18,10774.5,11248.14,3306.69,9231.01,11323.23,10696.11,9689.41,8241.66,3480.07,2415.57,6654.76,2360.78,3974.18,3433.27,1225.86,5050.66,4077.75,1519.27,2256.82,2936.87,2575.79,266.21,418.8,1676.77,640.58,1788.27,1118.1,343.02,0,847.22,700.31,63.67,1347.72,1223.84,1547.08,330.77,624.18,605.82,607.74,608.19,862.78,4690.2,4652.21,6898.12,1197.18,5630.44,6415.19,3033.53,3779.03,5836.87,1422.85,3877.8,3281.93,1607.98,4075.58,2723.81,1207.18,4248.27,2183.29,5612.55,3866.75,1458.9,218.32,4826.83,12780.15,11916.26,11070.21,4489.66,11821.55,6735.2,6169.73,8742.87,7123.06,7547.78,7466.97,8470.82,7363.56,5543.62,6105.55,5214.31,2033.17,5224.98,1430.2,2579.19,889.53,3584.71,0,1418.8,2747.64,5878.79,12533.07,7018.13,4039.8,3684.9,8577.54,1160.54,5990.9,8753.93,4525.22,12235.48,4332.88,4543.93,0,7951,2768.45,5401.52,3033.42,8461.42,5081.77,6776.07,2941.5,10925.91,7618.68,5810.49,8462.44,10610.76,6796.01,8746.43,46511.63,4057.21,3892.03,7568.34,3067.58,5084.67,3508.72,5694.9,1811.82,5073.14,2748.83
MIR105-1,0,1.7,0,0,0,0,0,0,0,0,0,2.67,0,2.38,0,0,0.7,0,0,0.27,0,0,0,6.11,0,4.79,0,0,5.31,0,0,0,0,1.33,0,0,1.55,0.71,3.51,0,0,0,0,0,0,0,0,4.2,0,2.9,0,0,2.11,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,1.44,7.95,0,3.25,0.73,0,0,0,0,0,2.35,2.14,2.7,0,0,1.7,0,0,0,0,0,7.23,0,0,0,0,0,0,0,6.58,1.38,0,0,0,3.84,4.08,0,0,0,0,3.9,1.4,7.16,0,0,0,2.05,0,0.53,0,0.89,0,5.97,2.04,0.87,2.01,1.84,0.99,9.57,0,2.57,22.04,5.31,0,16.68,0,0,0,22.98,0,4.8,0,0,9.44,0,0,0,21.9,0,6.78,22.59,0,0,0,0,0,0,0,0,5.17,0,2.64,0.68,0.46,10.98,0,2.75,1.9,1.56,0,0,0,0,0,0,0,14.9,0,13.23,0,0,0,9.78,20.41,0,4.1,0,7.93,0,0,0,0,0,0,0,0,16.65,4.36,5.36,0,0,1.59,0,0,10.42,0,0,12.67,0,0,0,3.47,0,16.67,0,0,7.16,0,0,0,0,0,0,40.57,0,0,0,1.21,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,12.84,0
