miRNA,KMG0025_R1,KMG0037_R1,KMG0038_R1,KMG0039_R1,KMG0063_R1,KMG0066_2_R1,KMG0067_2_R1,KMG0076_R1,KMG0078_R1,KMG0081_R1,KMG0083_R1,KMG0085_R1,KMG0088_R1,KMG0093_R1,KMG0094_R1,KMG0095_R1,KMG0096_R1,KMG0097_R1,KMG0098_R1,KMG0099_R1,KMG0100_R1,KMG0102_R1,KMG0103_R1,KMG0104_R1,KMG0105_R1,KMG0106_R1,KMG0107_R1,KMG0108_R1,KMG0109_2_R1,KMG0110_R1,KMG0111_R1,KMG0112_R1,KMG0113_R1,KMG0114_R1,KMG0115_2_R1,KMG0115_R1,KMG0116_R1,KMG0118_R1,KMG0119_R1,KMG0120_R1,KMG0121_R1,KMG0122_R1,KMG0123_R1,KMG0125_R1,KMG0126_R1,KMG0127_R1,KMG0128_R1,KMG0129_R1,KMG0130_R1,KMG0131_R1,KMG0132_R1,KMG0134_R1,KMG0135_R1,KMG0136_R1,KMG0138_R1,KMG0139_R1,KMG0140_R1,KMG0141_R1,KMG0143_R1,KMG0144_R1,KMG0145_R1,KMG0146_R1,KMG0147_R1,KMG0148_R1,KMG0149_R1,KMG0151_R1,KMG0152_R1,KMG0153_R1,KMG0154_R1,KMG0155_R1,KMG0157_R1,KMG0158_R1,KMG0159_R1,KMG0160_R1,KMG0161_R1,KMG0163_R1,KMG0164_R1,KMG0165_R1,KMG0166_R1,KMG0167_R1,KMG0168_R1,KMG0169_R1,KMG0170_R1,KMG0171_R1,KMG0172_R1,KMG0173_R1,KMG0175_R1,KMG0177_R1,KMG0179_R1,KMG0181_R1,KMG0183_R1,KMG0184_R1,KMG0185_R1,KMG0187_2_R1,KMG0188_R1,KMG0189_R1,KMG0191_R1,KMG0193_R1,KMG0194_R1,KMG0197_R1,KMG0199_R1,KMG0200_R1,KMG0201_R1,KMG0202_R1,KMG0203_R1,KMG0204_R1,KMG0205_R1,KMG0206_R1,KMG0210_R1,KMG0212_R1,KMG0215_R1,KMG0216_R1,KMG0222_R1,KMG0223_R1,KMG0226_R1,KMG0229_R1,KMG0230_R1,KMG0231_R1,KMG0237_R1,KMG0244_R1,KMG0245_R1,KMG0246_R1,KMG0252_R1,KMG0254_R1,KMG0255_R1,KMG0257_R1,KMG0266_R1,KMG0267_R1,KMG0269_R1,KMG0271_R1,KMG0274_R1,KMG0275_R1,KMG0276_R1,KMG0277_R1,KMG0285_R1,KMG0288_R1,KMG0289_R1,KMG0293_R1,KMG0294_R1,KMG0295_R1,KMG0297_R1,KMG0298_R1,KMG0299_R1,KMG0300_R1,KMG0303_R1,KMG0307_R1,KMG0315_R1,KMG0316_R1
Cancer Type,Liver cancer,disabled person,disabled person,disabled person,Breast cancer,Breast cancer,Breast cancer,Colorectal cancer,suspected,Biliary tract cancer,Lung cancer,Pancreatic cancer,Pancreatic cancer,Lung cancer,Colorectal cancer,Pancreatic cancer,Brain tumor,Gastric cancer,suspected,Breast cancer,Colorectal cancer,suspected,Prostate cancer,suspected,Biliary tract cancer,Gastric cancer,Breast cancer,Colorectal cancer,Prostate cancer,Prostate cancer,Prostate cancer,Liver cancer,Gastric cancer,Lung cancer,Lung cancer,Lung cancer,suspected,Prostate cancer,Bladder Cancer,Biliary tract cancer,Breast cancer,Lung cancer,Pancreatic cancer,Brain tumor,Gastric cancer,Colorectal cancer,Lung cancer,Others(Benign)(Not cancer),Others(Benign)(Not cancer),Renal cell carcinoma,Esophageal cancer,Colorectal cancer,Biliary tract cancer,Esophageal cancer,Breast cancer,Lung cancer,Colorectal cancer,Colorectal cancer,Pancreatic cancer,Esophageal cancer,Lung cancer,Brain tumor,Brain tumor,Others(Benign)(Not cancer),Lung cancer,Lung cancer,Lung cancer,Liver cancer,Liver cancer,Ovarian cancer,Pancreatic cancer,Lung cancer,Prostate cancer,Esophageal cancer,Liver cancer,Pancreatic cancer,Colorectal cancer,Breast cancer,Lung cancer,Lung cancer,Colorectal cancer,Pancreatic cancer,Prostate cancer,Others(Cancer),Biliary tract cancer,Colorectal cancer,Brain tumor,Brain tumor,Colorectal cancer,Lung cancer,Esophageal cancer,Liver cancer,Breast cancer,Colorectal cancer,Colorectal cancer,Biliary tract cancer,Lung cancer,Lung cancer,Lung cancer,Lung cancer,Biliary tract cancer,Lung cancer,Breast cancer,Liver cancer,Lung cancer,suspected,Biliary tract cancer,Bladder Cancer,Colorectal cancer,Gastric cancer,Liver cancer,Gastric cancer,Prostate cancer,Pancreatic cancer,Breast cancer,Breast cancer,Pancreatic cancer,Colorectal cancer,Gastric cancer,Lung cancer,Gastric cancer,Bladder Cancer,Breast cancer,Lung cancer,Lung cancer,suspected,Pancreatic cancer,Pancreatic cancer,Colorectal cancer,Lung cancer,Bladder Cancer,Others(Benign)(Not cancer),Bladder Cancer,Gastric cancer,Pancreatic cancer,Colorectal cancer,Biliary tract cancer,Lung cancer,Liver cancer,Brain tumor,Prostate cancer,Prostate cancer,Others(Benign)(Not cancer),Prostate cancer,Lung cancer,Colorectal cancer,Neuroendocrine neoplasm,Pancreatic cancer
MIR1-1,14.93,24.13,13.47,74.52,57.68,27.07,28.31,56.0,13.21,33.24,50.4,23.4,31.49,21.01,37.91,40.63,35.89,16.63,26.4,23.04,27.84,20.61,26.34,35.99,37.92,6.68,14.39,7.34,29.64,25.62,60.35,28.79,15.91,17.5,13.01,8.43,77.11,39.53,19.65,18.72,44.65,44.93,37.8,46.83,49.43,17.4,45.87,16.79,23.62,29.02,28.92,128.54,0.0,74.09,87.72,51.14,92.13,38.55,28.28,28.68,44.18,34.69,34.17,37.37,63.52,37.74,29.39,41.16,69.26,37.1,28.68,17.58,34.22,28.62,45.31,24.53,27.56,38.27,52.65,61.19,75.39,21.06,23.8,54.04,26.94,55.71,41.7,24.81,55.16,28.78,9.66,17.3,9.86,7.3,6.78,39.53,4.9,25.06,41.61,7.75,26.41,32.5,42.01,47.59,23.53,56.84,17.73,47.16,37.77,32.25,76.81,24.84,74.0,22.81,77.87,0.0,16.86,65.18,43.17,69.0,23.97,38.83,40.6,15.98,14.04,52.12,26.72,34.71,8.34,24.41,28.63,17.19,44.36,42.46,50.67,21.19,17.2,56.97,26.51,65.24,33.75,57.44,11.48,29.64,9.85,45.11,15.04,0.0
MIR1-2,0.0,0.0,0.0,0.36,1.41,1.61,0.0,1.33,7.77,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,1.11,4.16,0.0,7.95,0.0,0.0,0.18,0.0,1.88,0.0,0.0,2.35,0.0,2.7,0.0,0.0,0.0,0.0,1.4,3.15,7.25,0.0,0.0,0.0,0.57,0.0,0.0,0.0,2.07,0.0,3.59,1.92,6.12,0.0,9.06,5.29,31.23,1.4,5.37,5.33,0.0,2.05,0.0,0.53,0.0,0.89,1.33,2.04,0.87,0.5,0.37,0.99,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,3.22,4.72,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,2.03,0.46,0.0,3.92,0.92,0.0,0.0,0.0,39.69,0.0,9.94,0.0,0.0,0.0,12.87,2.97,2.25,8.63,0.0,4.36,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.74,0.0,0.0,2.5,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
MIR100,18.66,56.49,29.82,46.44,73.16,21.17,21.23,62.67,109.6,37.4,3.36,32.76,22.63,4.2,20.07,29.02,57.79,93.72,120.38,75.46,11.14,33.49,65.15,66.2,637.15,25.77,45.63,105.75,29.64,50.13,66.59,126.67,55.68,113.77,104.11,108.84,153.3,112.02,98.27,65.53,39.95,34.24,67.49,87.34,68.17,87.0,128.86,106.31,44.08,79.79,14.46,64.27,67.99,48.82,155.19,235.26,39.49,80.55,56.56,53.78,146.0,167.33,15.53,122.3,174.67,117.11,76.99,119.89,47.95,32.98,73.74,35.16,17.51,39.81,39.94,151.81,48.99,42.61,46.63,65.25,141.86,112.94,0.0,33.45,58.77,47.75,16.68,16.54,36.77,52.76,32.22,133.7,19.71,7.3,57.61,79.07,0.0,20.05,13.87,55.52,5.28,50.33,18.26,51.26,43.79,19.25,37.98,14.03,25.18,57.06,100.44,39.74,21.14,22.81,168.03,51.49,107.09,17.98,56.12,64.24,92.63,112.47,23.08,0.0,23.4,104.24,66.81,93.71,8.34,67.14,39.37,38.68,103.52,47.45,192.55,41.77,94.58,56.97,163.89,172.7,49.82,131.03,51.66,29.64,9.85,212.67,0.0,25.69
MIR101-1,3.73,6.58,2.4,7.92,8.44,4.29,0.0,1.33,4.66,4.16,1.68,0.0,6.89,0.0,2.23,2.9,4.87,1.51,4.22,3.97,5.57,0.0,1.85,0.0,9.19,1.91,2.06,14.69,0.0,10.03,6.24,5.76,3.98,26.26,6.51,9.79,6.43,14.12,0.0,9.36,9.4,12.84,10.8,8.86,5.11,8.12,10.92,13.99,15.74,0.0,0.0,18.36,47.59,4.02,33.74,6.82,26.32,11.02,28.28,3.59,9.6,10.2,12.42,6.79,21.17,10.41,7.0,12.53,5.33,12.37,8.19,0.0,2.65,8.71,2.68,9.28,4.08,6.09,4.51,2.58,13.89,3.83,0.0,18.01,12.24,15.92,16.68,16.54,4.6,0.0,32.22,9.44,9.86,43.79,20.33,5.65,0.0,40.09,0.0,1.29,10.56,2.93,5.48,0.0,3.92,3.67,3.8,0.0,0.0,24.81,0.0,19.87,0.0,13.03,17.76,12.87,9.92,8.99,8.63,19.03,9.81,14.73,7.16,7.99,4.68,13.9,0.0,13.88,0.0,12.21,10.74,8.6,0.0,0.0,0.0,7.87,8.6,45.57,12.05,19.19,14.46,7.18,5.74,8.08,5.25,25.78,7.52,0.0
MIR101-2,14.93,0.55,0.96,1.44,0.7,1.07,0.0,1.33,3.11,8.31,0.0,0.0,0.49,0.0,0.0,2.9,0.0,4.53,5.28,7.15,0.0,10.3,0.0,1.93,1.15,0.0,2.47,7.34,0.0,0.0,0.0,1.44,19.88,0.0,0.0,1.63,1.84,2.82,0.0,1.34,0.0,2.14,2.7,3.8,0.0,0.58,4.37,4.2,4.72,14.51,0.0,4.59,0.0,1.15,13.5,0.0,0.0,0.69,28.28,0.0,0.0,3.06,9.32,7.93,10.59,7.81,4.2,5.37,15.98,16.49,2.05,0.0,1.86,0.62,0.6,8.62,3.06,1.74,0.5,1.47,0.99,7.66,35.7,2.57,9.8,7.96,0.0,8.27,13.79,0.0,9.66,11.01,39.42,0.0,6.78,5.65,24.5,30.07,41.61,1.29,0.0,0.68,3.65,0.0,0.65,0.92,0.63,0.19,0.0,4.96,0.0,14.9,0.0,6.52,0.0,0.0,2.97,0.0,4.32,7.14,1.09,6.69,2.39,23.97,0.0,3.47,0.0,6.94,0.0,4.07,3.58,0.43,14.79,7.49,10.13,0.61,17.2,34.18,0.0,3.84,0.0,0.9,17.22,0.0,1.97,0.0,2.51,0.0
MIR103A1,3.73,0.55,0.48,0.0,0.7,0.54,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2.11,2.38,0.0,0.0,0.92,1.29,2.87,0.95,0.82,1.47,0.0,2.23,4.16,2.88,7.95,0.0,3.25,0.73,0.92,0.0,0.0,0.0,0.0,0.0,2.7,2.53,1.7,1.74,0.0,0.0,3.15,7.25,0.0,0.0,6.8,1.15,0.0,0.0,0.0,2.75,9.43,0.0,1.92,0.0,1.55,6.79,0.0,0.0,4.2,0.0,0.0,0.0,2.05,8.79,0.8,1.24,0.3,4.64,1.02,0.0,0.0,0.0,1.98,0.0,0.0,5.15,17.14,2.65,0.0,0.0,0.0,0.0,0.0,4.72,19.71,0.0,6.78,0.0,14.7,0.0,0.0,1.29,0.0,1.13,0.46,7.32,1.96,0.92,2.53,0.19,12.59,12.4,0.0,0.0,0.0,13.03,0.0,0.0,0.0,4.49,0.0,4.76,1.09,2.68,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.86,0.0,0.0,10.13,0.61,17.2,11.39,0.0,3.84,1.61,2.69,0.0,0.0,0.0,12.89,0.0,0.0
MIR103A2,0.0,0.0,1.44,0.0,0.7,0.54,0.0,2.67,2.33,0.0,0.0,0.0,0.98,12.6,0.0,2.9,1.22,0.0,4.22,2.38,0.0,0.0,0.46,0.64,0.57,0.95,1.23,1.47,0.0,1.11,6.24,2.88,7.95,0.0,3.25,2.72,0.0,0.0,0.0,0.0,0.0,6.42,5.4,3.8,3.41,1.74,0.0,1.4,4.72,0.0,0.0,4.59,0.0,0.57,0.0,3.41,6.58,1.38,0.0,0.0,0.0,2.04,1.55,0.0,15.88,1.3,1.4,3.58,0.0,4.12,2.05,0.0,0.53,1.24,0.0,1.99,0.0,2.61,0.5,0.74,4.96,1.91,0.0,2.57,4.9,5.31,0.0,0.0,4.6,19.19,0.0,3.15,9.86,36.49,13.56,11.3,0.0,10.02,27.74,1.29,0.0,3.61,0.46,0.0,0.65,0.0,0.0,0.19,0.0,0.0,5.91,9.94,0.0,3.26,2.73,0.0,0.0,2.25,4.32,4.76,0.0,5.36,3.18,7.99,0.0,0.0,0.0,6.94,8.34,2.03,7.16,1.29,0.0,2.5,0.0,0.61,8.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.97,6.44,0.0,0.0
MIR103B1,4044.85,17660.59,20576.83,20962.4,15426.95,6947.14,8215.92,12389.04,6955.57,5343.88,10857.07,5423.39,22174.74,4037.42,7494.59,6027.37,18645.35,6206.81,8001.93,8412.91,5674.48,9688.21,11077.36,10344.03,7244.77,6418.14,10122.62,5619.66,5780.35,9555.67,12630.15,12394.8,5834.19,15481.76,8218.48,8365.22,14232.98,11743.72,11045.92,10966.75,9117.59,8854.14,3887.49,9270.28,8117.89,10361.16,11922.78,16692.1,5516.75,4113.05,8972.27,6959.33,4426.04,12147.13,7422.3,9962.94,3757.77,7404.86,1159.5,4406.34,7541.82,5901.58,4539.57,7037.9,4493.75,5253.0,5709.54,6389.8,5381.3,8146.27,4825.59,5634.67,10587.94,10008.22,10694.91,3306.03,9148.34,11164.07,10747.76,9768.66,8219.84,3349.9,2356.08,6675.35,2402.41,3756.64,1259.21,3986.77,2137.31,2729.28,441.35,1672.05,611.01,270.04,921.78,677.72,1288.91,405.94,582.56,637.89,4613.61,4642.28,6751.09,1204.51,5509.51,6514.2,3067.72,3790.91,1183.61,3373.72,2942.43,1276.73,1310.89,250.9,12167.62,10928.61,4471.82,11473.2,7502.96,7239.84,5493.49,6358.61,5188.37,1558.04,2504.29,882.58,11677.93,7018.13,3201.36,8325.26,5661.65,8680.44,4303.4,12190.52,5401.52,8481.4,5073.17,11415.81,7404.18,5971.68,8623.14,10615.25,6244.98,8358.41,4004.67,3344.7,1836.88,5188.73
MIR103B2,4059.78,17563.51,20567.7,20882.85,15691.44,7012.25,8456.52,12462.37,6974.23,5543.34,10781.47,5559.09,22107.82,3667.71,7887.04,5623.99,18679.42,6280.88,8035.72,8458.18,5646.63,9610.93,11151.76,10099.15,7267.18,6407.64,10174.42,5557.97,5572.85,9587.98,12986.01,12417.83,6064.85,15359.24,8081.83,8356.25,14042.97,11539.46,10564.38,10866.44,8927.25,8687.24,3984.68,9356.35,7845.19,10314.77,11968.65,16501.86,5427.01,3895.43,8386.65,6899.65,4303.66,12001.82,7577.5,10378.91,3823.58,7466.82,1395.17,4115.93,7301.7,6003.62,4506.96,7011.85,4059.73,5134.59,5751.53,6341.49,5248.1,8203.99,4758.0,4940.23,10691.13,10097.18,10774.5,3306.69,9231.01,11323.23,10696.11,9689.41,8241.66,3480.07,2415.57,6654.76,2360.78,3974.18,1225.86,4077.75,2256.82,2575.79,418.8,1676.77,640.58,343.02,847.22,700.31,1347.72,330.77,624.18,608.19,4690.2,4652.21,6898.12,1197.18,5630.44,6415.19,3033.53,3779.03,1422.85,3281.93,2723.81,1207.18,1458.9,218.32,11916.26,11070.21,4489.66,11821.55,7123.06,7363.56,5543.62,6105.55,5224.98,1430.2,2579.19,889.53,12533.07,7018.13,3684.9,8577.54,5990.9,8753.93,4525.22,12235.48,5401.52,8461.42,5081.77,10925.91,7618.68,5810.49,8462.44,10610.76,6796.01,8746.43,4057.21,3067.58,1811.82,5073.14
