miRNA,Gene expression (RPM log2)
hsa-miR-10b,15.14454192
hsa-miR-1185.1,1.439401331
hsa-miR-1277,1.269476662
hsa-miR-1307,10.60793439
hsa-miR-137,0.591404637
hsa-miR-143,16.01537405
hsa-miR-1468,0.854439362
hsa-miR-146b,9.68785627
hsa-miR-153.1,-0.730523936
hsa-miR-200c,13.71458842
hsa-miR-212,2.517403955
hsa-miR-218.1,0
hsa-miR-30b,7.714491394
hsa-miR-3129,3.127457472
hsa-miR-324,6.683104477
hsa-miR-331,6.083257734
hsa-miR-33b,3.695741319
hsa-miR-361,8.387119654
hsa-miR-3622a,0
hsa-miR-3651,0.591404637
hsa-miR-374c,-0.730523936
hsa-miR-379,11.98543854
hsa-miR-3922,0.269476064
hsa-miR-3941,-0.730523936
hsa-miR-432,8.122786108
hsa-miR-496,5.469148881
hsa-miR-500a,7.814440987
hsa-miR-503,3.398759559
hsa-miR-574,6.613772465
hsa-miR-592,2.913332732
hsa-miR-627,-1.730521543
hsa-miR-642a,1.269476662
hsa-miR-676,-0.730523936
hsa-miR-769,4.517404081
