miRNA,KMG0071_R1
hsa-miR-10b,472.57
hsa-miR-1185.1,1.14
hsa-miR-1277,37.0
hsa-miR-1307,1.53
hsa-miR-137,3.81
hsa-miR-143,15.64
hsa-miR-1468,1.53
hsa-miR-146b,513.38
hsa-miR-153.1,0.76
hsa-miR-200c,0.76
hsa-miR-212,3.43
hsa-miR-218.1,2.67
hsa-miR-30b,173.92
hsa-miR-3129,25.55
hsa-miR-324,691.12
hsa-miR-331,2.29
hsa-miR-33b,3.43
hsa-miR-361,1133.18
hsa-miR-3622a,1.53
hsa-miR-3651,1.14
hsa-miR-374c,231.9
hsa-miR-379,34.33
hsa-miR-3922,0.38
hsa-miR-3941,1.91
hsa-miR-432,183.84
hsa-miR-496,1.91
hsa-miR-500a,4.2
hsa-miR-503,121.67
hsa-miR-574,191.47
hsa-miR-592,3.81
hsa-miR-627,42.34
hsa-miR-642a,2.67
hsa-miR-676,4.96
hsa-miR-769,58.74
