miRNA,Gene expression (RPM log2)
hsa-miR-17-3p,8.147728638
hsa-miR-32-5p,2.591095088
hsa-miR-30c-2-3p,3.542185232
hsa-miR-140-3p,10.17705888
hsa-miR-191-5p,10.52734017
hsa-miR-127-5p,6.591094849
hsa-miR-320a,9.835855087
hsa-miR-339-3p,4.61494154
hsa-miR-500a-3p,9.419760278
hsa-miR-501-5p,3.854129434
hsa-miR-582-5p,2.591095088
hsa-miR-1976,4.771667098
hsa-miR-301a-3p,-1.315795268
hsa-miR-1247-5p,8.523408042
hsa-miR-450b-5p,1.006132109
hsa-miR-664a-5p,1.491559654
hsa-miR-125b-2-3p,4.143635943
hsa-miR-491-3p,0.684204732
hsa-miR-26a-1-3p,-0.315795268
hsa-miR-188-3p,1.684204283
hsa-miR-1237-3p,-1.315795268
