miRNA,Gene expression (RPM log2)
hsa-miR-23a-3p,10.8931463
hsa-miR-30a-5p,13.03482307
hsa-miR-33a-5p,2.757535568
hsa-miR-199a-5p,7.485456116
hsa-miR-335-5p,2.305023487
hsa-miR-423-5p,6.963986525
hsa-miR-432-5p,1.227020781
hsa-miR-193b-5p,2.05709601
hsa-miR-708-5p,0.64205828
hsa-miR-1307-3p,10.77926309
hsa-miR-101-5p,3.011292209
hsa-miR-362-3p,0.379023134
hsa-miR-508-3p,0.64205828
hsa-miR-487b-3p,-0.35794172
hsa-miR-195-3p,0.64205828
hsa-miR-3677-3p,4.246920465
hsa-miR-31-3p,4.305023414
hsa-miR-32-3p,-0.942903296
hsa-miR-1262,1.227021397
hsa-miR-33b-5p,-0.94290607
hsa-miR-483-3p,-0.94290607
hsa-miR-514a-3p,-1.94290607
