miRNA,Gene expression (RPM log2)
hsa-miR-18a-5p,2.932347527
hsa-miR-93-3p,1.847459002
hsa-miR-101-5p,2.610419196
hsa-miR-103a-3p,14.51919393
hsa-miR-181a-2-3p,9.870834875
hsa-miR-125a-3p,1.124992416
hsa-miR-30e-5p,12.02264893
hsa-miR-361-3p,8.056911901
hsa-miR-151a-5p,5.597480253
hsa-miR-335-5p,1.661045407
hsa-miR-409-3p,4.616845571
hsa-miR-219a-1-3p,1.050991974
hsa-miR-206,12.7192238
hsa-miR-493-3p,2.012517544
hsa-miR-187-3p,3.858346796
hsa-miR-7-5p,-0.87501023
hsa-miR-3614-3p,1.262495699
hsa-miR-3690,0.262496902
hsa-miR-365a-5p,0.027011854
hsa-miR-188-3p,0
