miRNA,Gene expression (RPM log2)
hsa-miR-18a-5p,2.6304537
hsa-miR-27a-3p,10.31055752
hsa-miR-197-3p,7.742942971
hsa-miR-148a-3p,13.29396704
hsa-miR-34a-5p,7.641822772
hsa-let-7i-3p,5.712535612
hsa-miR-144-5p,8.817524094
hsa-miR-126-3p,13.64516308
hsa-miR-301a-3p,2.555491758
hsa-miR-628-5p,2.970529564
hsa-miR-744-5p,3.802406451
hsa-miR-1296-5p,1.911635598
hsa-miR-675-3p,3.818526347
hsa-miR-222-5p,0.786103671
hsa-miR-550a-3p,0.911634832
hsa-miR-3615,1.911635598
hsa-miR-136-3p,2.612075258
hsa-miR-489-3p,2.701712723
