miRNA,Gene expression (RPM log2)
hsa-let-7i,8.129227111
hsa-miR-106b,8.885244178
hsa-miR-1179,0
hsa-miR-1269,9.170050693
hsa-miR-139,7.766034239
hsa-miR-150,10.22138276
hsa-miR-152,8.622725851
hsa-miR-17,9.54807335
hsa-miR-181c,4.901497641
hsa-miR-2277,-0.241459734
hsa-miR-2355,4.616520673
hsa-miR-299,0.173577766
hsa-miR-320a,9.162971704
hsa-miR-3651,-1.826422234
hsa-miR-424,6.261040042
hsa-miR-4286,0
hsa-miR-512-2,0
hsa-miR-518b,0
hsa-miR-539,0.980931957
hsa-miR-549,-1.826422234
hsa-miR-550a-2,1.495505349
hsa-miR-574,6.813822138
hsa-miR-621,0
