miRNA,Gene expression (RPM log2)
hsa-miR-103a-3p,13.93815264
hsa-miR-148a-5p,7.112790455
hsa-miR-181b-5p,9.168413977
hsa-miR-203a-3p,8.513007581
hsa-miR-181a-3p,9.284394781
hsa-miR-144-5p,3.706798181
hsa-miR-126-3p,11.68662022
hsa-miR-185-3p,4.873156554
hsa-miR-378a-3p,9.22896548
hsa-miR-342-3p,7.581267231
hsa-miR-576-5p,4.214945027
hsa-miR-598-3p,5.769533871
hsa-miR-30b-3p,2.12183568
hsa-miR-582-5p,3.76953395
hsa-miR-3200-3p,3.536873138
hsa-miR-671-5p,3.344228148
hsa-miR-190a-5p,0.214945416
hsa-miR-589-3p,3.302407964
hsa-miR-3605-3p,2.302407964
hsa-miR-376c-3p,2.858801208
hsa-miR-627-5p,0.536873511
hsa-miR-939-5p,0.536873511
hsa-miR-548v,1.915385134
hsa-miR-3614-3p,1.915385134
hsa-miR-26a-1-3p,0.214945416
hsa-miR-655-3p,0.536873511
hsa-miR-296-3p,-1.785054584
hsa-miR-3651,0.536873511
hsa-miR-1304-5p,0
