miRNA,Gene expression (RPM log2)
hsa-miR-16-5p,9.088648824
hsa-miR-24-3p,10.84374104
hsa-miR-29a-3p,12.56407168
hsa-miR-30c-2-3p,5.733168188
hsa-miR-10a-5p,14.2561663
hsa-miR-132-5p,1.9352123
hsa-miR-194-5p,6.133991803
hsa-miR-326,0.475781153
hsa-miR-338-3p,13.55738859
hsa-miR-423-3p,8.585610997
hsa-miR-486-5p,5.66560493
hsa-miR-181d-5p,4.030369276
hsa-miR-1180-3p,6.435782256
hsa-miR-664a-3p,6.183139476
hsa-miR-16-2-3p,3.685233537
hsa-miR-211-5p,4.563243262
hsa-miR-769-3p,1.475781153
hsa-miR-589-3p,5.133991824
hsa-miR-3682-3p,1.475780634
hsa-miR-3614-5p,0.797708625
hsa-miR-3648,4.257140621
hsa-miR-4326,7.030369188
hsa-miR-26a-1-3p,1.060742616
hsa-miR-33a-3p,-0.52421781
hsa-miR-2277-5p,0.475780115
hsa-miR-1538,0.060743308
hsa-miR-377-5p,1.283135926
