miRNA,Gene expression (RPM log2)
hsa-miR-21-3p,12.51038424
hsa-miR-221-3p,7.648182456
hsa-miR-130a-3p,4.297685121
hsa-miR-141-5p,10.22431725
hsa-miR-143-3p,14.64638386
hsa-miR-127-5p,7.663191118
hsa-miR-193a-3p,1.653828638
hsa-miR-30e-5p,12.54244544
hsa-miR-148b-3p,7.307271259
hsa-miR-339-5p,5.926847488
hsa-miR-320b,2.653828867
hsa-miR-330-3p,0.876221059
hsa-miR-362-3p,1.528297756
hsa-miR-887-3p,0.876221059
hsa-miR-424-3p,2.653828867
hsa-miR-935,0.068866137
hsa-miR-3065-5p,0.068866137
hsa-miR-3928-3p,1.528297756
hsa-miR-135a-5p,-1.931133863
hsa-miR-580-3p,-0.931133863
