miRNA,Gene expression (RPM log2)
hsa-let-7c-5p,12.57062291
hsa-miR-101-5p,3.819140359
hsa-miR-192-5p,9.071935886
hsa-miR-30d-5p,14.19175577
hsa-miR-10a-5p,13.65394471
hsa-miR-10b-5p,14.6149342
hsa-miR-181a-2-3p,12.04159178
hsa-let-7i-5p,10.76326799
hsa-miR-27b-5p,5.190507286
hsa-miR-324-3p,3.680312541
hsa-miR-92b-3p,5.789048218
hsa-miR-625-3p,7.59302049
hsa-miR-874-3p,5.111651838
hsa-miR-23a-5p,0.220880922
hsa-miR-514a-3p,4.317742614
hsa-miR-3615,1.220880922
hsa-miR-582-5p,1.443274051
hsa-miR-199b-5p,5.550801845
hsa-miR-3605-3p,1.050956462
hsa-miR-592,0.75139602
hsa-miR-940,-0.627114747
hsa-miR-188-3p,-0.949042842
hsa-miR-1249-3p,-0.627114747
hsa-miR-218-1-3p,1.805843423
hsa-miR-382-5p,-0.141689511
hsa-miR-431-3p,-0.364080341
